Año ,Ene,Feb,Mar,Abr ,May,Jun,Jul,Ago ,Sep,Oct,Nov ,Dic
1997,  ,  ,  ,  ,  ,  ,  ,  ,158,2,7,22
1998,22,22,22,23,22,45,42,27,27,30,33,33
1999,28,28,28,28,29,28,28,28,28,28,61,58
2000,52,49,47,46,45,44,43,42,34,29,29,30
2001,31,35,38,41,43,47,49,47,49,44,44,43
2002,41,39,38,40,38,40,41,39,36,34,36,39
2003,40,37,38,38,38,39,38,36,35,33,32,31
2004,27,24,24,23,21,20,22,25,23,21,20,19
2005,18,13,12,11,11,11,11,11,12,13,13,13
2006,14,13,13,14,13,14,14,14,14,13,13,11
2007,12,12,10,9,9,9,9,10,10,10,10,10
2008,12,12,14,14,14,15,21,25,25,25,28,20
2009,13,13,10,9,9,9,9,8,8,7,7,6
2010,5,4,5,3,3,3,4,4,4,5,4,4
2011,3,3,2,1,1,1,1,1,1,2,2,2
2012,2,2,2,2,2,2,2,2,2,2,2,2
2013,2,2,2,2,1,1,1,1,  ,  ,  ,  
,,,,,,,,,,,,
