Año ,Ene,Feb,Mar,Abr ,May,Jun,Jul,Ago ,Sep,Oct,Nov ,Dic
1997,  ,  ,  ,  ,  ,  ,  ,  ,"88,4","110,2","128,2","172,7"
1998,"172,7","171,9","171,3","171,1","170,9","170,3","165,0","153,7","152,8","154,3","156,6","156,3"
1999,"160,2","165,2","164,5","164,1","164,2","164,7","164,0","162,2","161,9","158,6","153,7","146,8"
2000,"139,5","134,6","129,8","127,1","127,6","127,3","129,0","118,4","96,9","94,7","98,4","102,6"
2001,"108,3","112,5","118,4","124,3","129,8","135,7","141,4","146,3","149,5","148,7","145,9","141,6"
2002,"138,2","135,4","132,6","132,3","136,5","149,1","149,5","145,5","138,8","144,7","163,2","171,4"
2003,"171,3","171,0","170,7","170,6","170,5","170,5","170,5","170,3","170,2","170,1","169,7","168,5"
2004,"166,0","165,1","163,1","161,7","163,7","165,9","166,1","165,3","162,7","156,8","149,3","141,5"
2005,"133,2","127,5","122,6","119,0","121,5","126,6","132,1","136,1","138,2","136,8","135,2","142,3"
2006,"153,6","162,7","167,7","170,1","170,2","170,2","170,2","170,1","168,8","162,9","155,0","146,1"
2007,"137,2","130,1","123,3","118,5","119,4","122,2","126,7","130,2","130,3","128,9","132,3","141,8"
2008,"151,7","157,9","158,8","159,4","162,8","168,1","170,1","170,1","170,0","170,0","168,0","164,0"
2009,"158,0","152,3","147,0","143,4","142,1","142,5","146,0","148,5","147,6","143,0","136,3","128,4"
2010,"120,6","115,5","110,6","107,1","108,0","114,3","117,9","120,3","120,2","116,4","110,5","103,1"
2011,"94,7","89,0","84,5","81,6","82,1","85,1","88,8","92,4","92,0","88,4","82,8","74,2"
2012,"68,4","65,4","62,4","62,3","63,3","63,3","66,7","66,4","64,5","59,9","55,6","49,9"
2013,"43,6","39,0","35,7","34,8","36,4","36,9",  ,  ,  ,  ,  ,  
